년도	타석	홈런	삼진	볼넷	삼진비율	볼넷비율	타율	출루율	타점	예상장타율	가중출루율	예상출루율	헛스윙비율	스윙비율
1	 Semien, Marcus	2023	753	29	110	72	14.6	9.6	.276	.826	100	.427	.354	.337	18.0	47.1
2	 Acuña Jr., Ronald	2023	735	41	84	80	11.4	10.9	.337	1.012	106	.660	.428	.435	18.7	46.2
3	 Freeman, Freddie	2023	730	29	121	72	16.6	9.9	.331	.977	102	.565	.411	.403	20.4	51.0
4	 Bregman, Alex	2023	724	25	87	92	12.0	12.7	.262	.804	98	.430	.351	.368	14.1	38.7
5	 Lowe, Nathaniel	2023	724	17	165	93	22.8	12.8	.262	.774	82	.406	.340	.362	20.6	43.8
6	 Olson, Matt	2023	720	54	167	104	23.2	14.4	.283	.993	139	.558	.413	.374	28.4	46.8
7	 Schwarber, Kyle	2023	720	47	215	126	29.9	17.5	.197	.817	104	.485	.350	.362	31.5	37.7
8	 Kwan, Steven	2023	718	5	75	70	10.4	9.7	.268	.710	54	.358	.313	.353	11.1	41.2
9	 Riley, Austin	2023	715	37	172	59	24.1	8.3	.281	.861	97	.516	.363	.342	27.8	48.2
10	 Rodríguez, Julio	2023	714	32	175	47	24.5	6.6	.275	.818	103	.475	.347	.332	28.2	53.9
11	 Soto, Juan	2023	708	35	129	132	18.2	18.6	.275	.929	109	.538	.395	.420	20.4	35.8
12	 Suárez, Eugenio	2023	694	22	214	70	30.8	10.1	.232	.714	96	.419	.313	.318	32.8	44.5
13	 Witt Jr., Bobby	2023	694	30	121	40	17.4	5.8	.276	.814	96	.533	.343	.338	22.8	50.5
14	 Betts, Mookie	2023	693	39	107	96	15.4	13.9	.307	.987	107	.563	.416	.399	16.7	38.1
15	 Turner, Trea	2023	691	26	150	45	21.7	6.5	.266	.779	76	.447	.333	.320	29.6	53.1
16	 Ramírez, José	2023	691	24	73	73	10.6	10.6	.282	.831	80	.480	.346	.373	15.6	46.6
17	 Happ, Ian	2023	691	21	153	99	22.1	14.3	.248	.791	84	.427	.345	.368	25.2	44.4
18	 Hoerner, Nico	2023	688	9	83	49	12.1	7.1	.283	.729	68	.356	.322	.339	12.4	45.6
19	 Goldschmidt, Paul	2023	687	25	161	87	23.4	12.7	.268	.810	80	.491	.350	.366	27.5	44.0
20	 Lindor, Francisco	2023	687	31	137	66	19.9	9.6	.254	.806	98	.457	.346	.340	22.8	48.0
21	 Rutschman, Adley	2023	687	20	101	92	14.7	13.4	.277	.809	80	.469	.352	.389	15.6	41.0
22	 Torkelson, Spencer	2023	684	31	171	67	25.0	9.8	.233	.759	94	.484	.326	.331	24.7	46.2
23	 Springer III, George	2023	683	21	125	60	18.3	8.8	.258	.732	72	.422	.320	.335	22.3	49.3
24	 Nimmo, Brandon	2023	682	24	146	74	21.4	10.9	.274	.829	68	.453	.359	.353	22.0	42.4
25	 Thomas, Lane	2023	682	28	176	36	25.8	5.3	.268	.783	86	.436	.334	.305	23.0	43.6
26	 Guerrero Jr., Vladimir	2023	682	26	100	67	14.7	9.8	.264	.789	94	.503	.340	.378	23.0	50.6
27	 Hernández, Teoscar	2023	678	26	211	38	31.1	5.6	.258	.740	93	.476	.317	.308	35.8	53.6
28	 Tucker, Kyle	2023	674	29	92	80	13.6	11.9	.284	.886	112	.530	.372	.380	18.5	47.0
29	 Torres, Gleyber	2023	672	25	98	67	14.6	10.0	.273	.800	68	.478	.346	.357	21.8	46.8
30	 Castellanos, Nick	2023	671	29	185	36	27.6	5.4	.272	.787	106	.443	.335	.301	35.4	56.2
31	 Bogaerts, Xander	2023	665	19	110	56	16.5	8.4	.285	.790	58	.401	.343	.325	20.4	42.6
32	 France, Ty	2023	665	12	117	43	17.6	6.5	.250	.703	58	.420	.315	.354	21.9	53.2
33	 Steer, Spencer	2023	665	23	139	68	20.9	10.2	.271	.820	86	.417	.355	.341	24.1	43.8
34	 Walker, Christian	2023	661	33	127	62	19.2	9.4	.258	.830	103	.460	.351	.329	26.4	48.6
35	 Albies, Ozzie	2023	660	33	107	46	16.2	7.0	.280	.849	109	.467	.358	.325	20.6	54.6
36	 Alonso, Pete	2023	658	46	151	65	22.9	9.9	.217	.822	118	.527	.346	.343	26.2	43.7
37	 Meneses, Joey	2023	657	13	130	38	19.8	5.8	.275	.722	89	.361	.314	.295	23.6	47.6
38	 Santander, Anthony	2023	656	28	152	55	23.2	8.4	.257	.797	95	.426	.340	.309	23.5	49.0
39	 Devers, Rafael	2023	656	33	126	62	19.2	9.5	.271	.851	100	.539	.359	.363	26.1	52.6
40	 Arozarena, Randy	2023	654	23	156	80	23.9	12.2	.254	.789	83	.435	.347	.359	29.1	43.0
41	 Marte, Ketel	2023	650	25	109	71	16.8	10.9	.276	.843	82	.427	.361	.353	20.5	45.5
42	 McNeil, Jeff	2023	648	10	65	39	10.0	6.0	.270	.711	55	.340	.314	.316	13.4	53.0
43	 Carroll, Corbin	2023	645	25	125	57	19.4	8.8	.285	.868	76	.441	.370	.348	21.5	45.8
44	 Reynolds, Bryan	2023	640	24	138	53	21.6	8.3	.263	.790	84	.490	.338	.346	28.2	47.4
45	 Stott, Bryson	2023	640	15	100	39	15.6	6.1	.280	.748	62	.386	.323	.319	15.1	45.0
46	 Swanson, Dansby	2023	638	22	154	66	24.1	10.3	.244	.744	80	.458	.325	.338	28.7	47.3
47	 Crawford, J.P.	2023	638	19	125	94	19.6	14.7	.266	.818	65	.384	.359	.375	18.6	38.6
48	 Adames, Willy	2023	638	24	165	71	25.9	11.1	.217	.717	80	.436	.311	.332	31.0	50.0
49	 Tatis Jr., Fernando	2023	635	25	141	53	22.2	8.3	.257	.771	78	.508	.332	.344	30.5	54.1
50	 Peña, Jeremy	2023	634	10	129	43	20.3	6.8	.263	.705	52	.370	.310	.321	28.3	53.2
51	 Yelich, Christian	2023	632	19	140	78	22.2	12.3	.278	.817	76	.460	.353	.376	26.8	45.0
52	 García, Adolis	2023	632	39	175	65	27.7	10.3	.245	.836	107	.526	.354	.334	31.6	48.6
53	 McMahon, Ryan	2023	627	23	198	68	31.6	10.8	.240	.753	70	.445	.325	.328	32.2	47.4
54	 Turner, Justin	2023	626	23	110	51	17.6	8.1	.276	.800	96	.444	.346	.331	17.5	45.0
55	 De La Cruz, Bryan	2023	626	19	142	40	22.7	6.4	.257	.715	78	.445	.309	.321	28.7	50.1
56	 Kim, Ha-Seong	2023	626	17	124	75	19.8	12.0	.260	.749	60	.359	.330	.339	17.7	38.9
57	 Henderson, Gunnar	2023	622	28	159	56	25.6	9.0	.255	.814	82	.472	.346	.331	26.4	46.8
58	 Benintendi, Andrew	2023	621	5	89	52	14.3	8.4	.262	.682	45	.375	.299	.334	19.3	49.0
59	 Santana, Carlos	2023	619	23	104	65	16.8	10.5	.240	.747	86	.378	.323	.319	22.1	45.3
60	 Bell, Josh	2023	617	22	134	63	21.7	10.2	.247	.744	74	.457	.323	.341	25.8	47.7
61	 Arraez, Luis	2023	617	10	34	35	5.5	5.7	.354	.862	69	.458	.369	.371	7.8	51.0
62	 Giménez, Andrés	2023	616	15	112	32	18.2	5.2	.251	.713	62	.367	.309	.309	25.0	54.6
63	 Tovar, Ezequiel	2023	615	15	166	25	27.0	4.1	.253	.695	73	.386	.298	.283	31.3	59.7
64	 Vaughn, Andrew	2023	615	21	129	36	21.0	5.9	.258	.743	80	.427	.321	.309	24.1	47.5
65	 Abrams, CJ	2023	614	18	118	32	19.2	5.2	.245	.712	64	.399	.306	.301	22.3	53.5
66	 Arenado, Nolan	2023	612	26	101	41	16.5	6.7	.266	.774	93	.435	.327	.316	20.2	48.5
67	 Contreras, William	2023	611	17	126	63	20.6	10.3	.289	.824	78	.433	.357	.338	28.0	43.2
68	 Bohm, Alec	2023	611	20	94	42	15.4	6.9	.274	.764	97	.453	.329	.342	18.1	49.8
69	 Verdugo, Alex	2023	602	13	93	45	15.4	7.5	.264	.745	54	.417	.322	.340	15.6	40.9
70	 Melendez Jr., MJ	2023	602	16	170	62	28.2	10.3	.235	.714	56	.432	.310	.318	34.4	47.9
71	 Machado, Manny	2023	601	30	109	50	18.1	8.3	.258	.781	91	.458	.334	.318	23.9	49.3
72	 Bichette, Bo	2023	601	20	115	27	19.1	4.5	.306	.814	73	.502	.349	.345	21.1	56.6
73	 Volpe, Anthony	2023	601	21	167	52	27.8	8.7	.209	.666	60	.396	.290	.306	28.1	47.9
74	 Díaz, Yandy	2023	600	22	94	65	15.7	10.8	.330	.932	78	.487	.402	.391	18.3	42.6
75	 Ohtani, Shohei	2023	599	44	143	91	23.9	15.2	.304	1.066	95	.638	.433	.406	32.3	48.2
76	 Robert Jr., Luis	2023	595	38	172	30	28.9	5.0	.264	.857	80	.515	.358	.312	33.5	58.3
77	 Abreu, José	2023	594	18	130	42	21.9	7.1	.237	.679	90	.409	.295	.311	26.4	50.1
78	 Ozuna, Marcell	2023	592	40	134	57	22.6	9.6	.274	.904	100	.577	.381	.353	26.7	48.4
79	 Merrifield, Whit	2023	592	11	101	36	17.1	6.1	.272	.700	67	.335	.304	.291	19.5	51.1
